lambda,gamma,aa_recall
0.0,0.0,77.45274015163132
0.0,0.1,76.3307455093423
0.0,0.3,44.44680983744356
0.0,0.5,42.67564315102265
0.05,0.0,81.19591906391747
0.05,0.1,78.50881109804054
0.05,0.3,45.74885722093413
0.05,0.5,42.67564315102265
0.1,0.0,81.08998686052765
0.1,0.1,77.34195950496763
0.1,0.3,45.90679250598805
0.1,0.5,42.67564315102265
0.2,0.0,78.90637375195912
0.2,0.1,75.8284624088434
0.2,0.3,48.770301080439886
0.2,0.5,42.67564315102265
0.5,0.0,77.0109440044606
0.5,0.1,73.24560478236664
0.5,0.3,56.831401698375295
0.5,0.5,45.44834830757084
